week,year,gen_acc_balance,rev_acc_balance,com_acc_balance,forked_accounts_balance,total_portfolio_value,weekly_income,active_forked_accounts,total_forked_accounts_created,quarterly_reinvestment
230,5,194760.29890209524,1225509.460650233,328815.6437114488,2428041.3706865767,4177126.773950354,45776.609656434106,16,16,0.0
231,5,199680.42908253352,1238724.570168541,330572.7020674589,2453214.4777665418,4222192.179085076,45065.40513472106,16,16,0.0
232,5,201382.93956092108,1247676.888276294,332143.02039760456,2483825.5203314787,4265028.368566299,42836.18948122369,16,16,0.0
233,5,204377.98321552805,1260966.7053408893,334757.76700615964,2512340.993841471,4312443.449404048,47415.0808377489,16,16,0.0
234,5,203613.37401562254,1292460.525727448,334515.0406975884,2546166.0793358483,4376755.019776507,64311.570372459624,17,17,0.0
235,5,205720.9527206518,1305569.5078743428,337040.7404062248,2577579.9663310763,4425911.167332295,49156.14755578966,17,17,0.0
236,5,208943.8984591321,1327090.327574154,340033.11393656686,2611351.6878669057,4487419.027836759,61507.86050446232,17,17,0.0
237,5,212490.35052639464,1327042.6111593375,341148.1812831607,2650327.094927795,4531008.237896688,43589.21005992915,17,17,0.0
238,5,218109.87423651735,1341768.187262706,345651.2713983462,2679452.1082007955,4584981.441098365,53973.20320167645,17,17,0.0
239,5,120000.0,1355897.2711139992,348410.206374989,2808246.3953816853,4632553.872870673,47572.431772309836,18,18,0.0
240,5,121907.16812122325,1370626.1700905825,350367.31934126647,2838381.7947096517,4681282.452262724,48728.57939204955,18,18,0.0
241,5,123658.28931569321,1385112.322030197,352157.39183674793,2869773.4398242254,4730701.443006864,49418.9907441399,18,18,0.0
242,5,125697.95588448935,1398748.343540245,353977.66675816244,2906498.9191700374,4784922.885352934,54221.44234607088,18,18,0.0
243,5,126722.83628544603,1413240.8333344525,356500.8948480446,2941012.676644824,4837477.241112767,52554.35575983236,18,18,0.0
244,5,127866.29122260382,1413240.8333344525,359668.7609484769,2980607.600867541,4881383.486373074,43906.245260307674,18,18,0.0
245,5,127056.46706774872,1439132.5373983944,361641.6247565511,3020090.9690963468,4947921.598319041,66538.11194596766,18,18,0.0
246,5,128459.50894117611,1454012.859833216,363438.0855475242,3057476.1983340527,5003386.652655969,55465.05433692683,18,18,0.0
247,5,130616.54598578473,1462711.245856196,368314.391996629,3097469.9202588713,5059112.104097481,55725.45144151201,19,19,0.0
248,5,131950.6373216842,1486690.5017673895,369620.191451901,3131038.98604262,5119300.316583594,60188.21248611421,19,19,0.0
249,5,135279.65145468843,1503290.9528328988,370868.7173575064,3169585.953031208,5179025.2746763015,59724.95809270766,20,20,0.0
250,5,135243.16887753096,1539210.6878620896,373950.9812832862,3213363.2061285847,5261768.0441514915,82742.76947518915,20,20,0.0
251,5,137491.18857711618,1582532.4552112338,375766.4311136696,3260649.638831354,5356439.713733374,94671.66958188143,20,20,0.0
252,5,142681.7517268766,1593690.593929391,377691.9794648884,3305475.9204954496,5419540.2456166055,63100.531883232834,20,20,0.0
253,5,146178.73390496185,1622093.316845701,377297.76881489705,3338548.942087764,5484118.761653325,64578.51603671774,20,20,0.0
254,5,146178.73390496185,1649083.357336531,379120.49332640314,3379999.5112339463,5554382.095801842,70263.33414851943,20,20,0.0
